name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Ecoforms_Plant_Container_GP16A_Coral,1,21.891221523284912,0,1,1,1,1,1,1,1,0,1,1,1
072-d_toy_airplane,381,322.0207319259644,41,228,305,366,200,222,255,312,30,177,242,309
Timberland_Mens_Earthkeepers_Casco_Bay_Canvas_SlipOn,2,15.527944564819336,0,0,2,2,2,2,2,2,0,0,2,2
Office_Depot_HP_932XL_Ink_Cartridge_Black_CN053A,41,48.17181944847107,9,35,40,41,33,36,40,41,8,32,40,41
Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister,14,21.779735326766968,6,14,14,14,13,13,14,14,6,13,14,14
Reebok_PUMP_OMNI_LITE_HLS,0,5.542037487030029,0,0,0,0,0,0,0,0,0,0,0,0
048_hammer,69,166.09984874725342,10,30,40,52,37,44,45,59,9,27,35,51
Bifidus_Balance_FOS,215,255.6424798965454,30,148,193,211,176,192,194,207,30,143,185,206
Connect_4_Launchers,0,3.3113889694213867,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Plant_Saucer_Glazed_9,39,128.33991646766663,6,20,27,35,14,18,19,29,6,15,19,27
054_softball,46,38.52127695083618,12,31,42,46,45,46,46,46,12,31,42,46
Threshold_Performance_Bath_Sheet_Sandoval_Blue_33_x_63,0,5.051292181015015,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Neuropeptide_Facial_Conformer,114,135.22924041748047,27,78,98,108,69,76,86,109,24,62,81,105
Wishbone_Pencil_Case,3,7.842689037322998,2,3,3,3,3,3,3,3,2,3,3,3
Ortho_Forward_Facing,0,11.603546619415283,0,0,0,0,0,0,0,0,0,0,0,0
Whey_Protein_Vanilla,0,3.498817205429077,0,0,0,0,0,0,0,0,0,0,0,0
