name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,43,109.3584554195404,0,2,9,18,21,22,30,41,0,2,7,18
Epson_LabelWorks_LC5WBN9_Tape_reel_labels_071_x_295_Roll_Black_on_White,298,278.9431507587433,1,25,72,153,158,196,227,288,1,22,68,149
Ecoforms_Plant_Container_FB6_Tur,152,505.5077292919159,4,16,40,97,105,125,137,146,4,16,40,97
Playmates_Industrial_CoSplinter_Teenage_Mutant_Ninja_Turtle_Action_Figure,509,1425.0013494491575,6,65,154,330,276,333,393,484,6,55,137,324
QAbsorb_CoQ10,553,435.3350086212158,13,79,196,355,382,433,487,536,12,71,184,353
Hasbro_Dont_Wake_Daddy_Board_Game_NJnjGna4u1a,0,23.99943256378174,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Sparkle_Suede_Angelfish_in_Grey_Sparkle_Suede_Silver,293,712.9464280605316,6,21,59,134,169,203,235,278,6,21,57,133
Office_Depot_HP_932XL_Ink_Cartridge_Black_CN053A,311,248.033575296402,2,29,82,178,209,244,281,311,2,27,80,178
Jansport_School_Backpack_Blue_Streak,0,16.864787817001343,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_BREAKPOINT_LO_2V,228,432.364904165268,6,23,44,93,128,162,180,216,5,22,43,91
Brother_Printing_Cartridge_PC501,39,87.2888114452362,0,1,4,11,12,17,30,38,0,1,4,11
Orbit_Bubblemint_Mini_Bottle_6_ct,31,88.23291039466858,0,3,5,11,15,19,25,28,0,3,5,11
Winning_Moves_1180_Aggravation_Board_Game,0,25.36214566230774,0,0,0,0,0,0,0,0,0,0,0,0
QAbsorb_CoQ10_53iUqjWjW3O,572,460.75571942329407,14,85,207,378,391,452,501,557,14,80,198,376
Fujifilm_instax_SHARE_SP1_10_photos,240,237.06411266326904,1,18,53,105,137,175,211,237,1,15,51,103
Azure_Snake_Tieks_Leather_Snake_Print_Ballet_Flats,325,645.3379149436951,6,31,86,179,185,219,260,307,6,30,82,176
Womens_Authentic_Original_Boat_Shoe_in_Classic_Brown_Leather_48Nh7VuMwW6,315,817.11177110672,1,26,60,145,191,216,248,299,1,25,58,143
Markings_Desk_Caddy,55,169.85540533065796,0,1,7,22,30,32,39,49,0,1,7,22
Pokmon_Conquest_Nintendo_DS_Game,46,103.89215898513794,0,2,5,16,17,22,25,40,0,2,4,16
Razer_Naga_MMO_Gaming_Mouse,388,603.1114792823792,8,50,108,244,228,262,311,375,6,41,102,241
Womens_Canvas_Bahama_in_Black_vnJULsDVyq5,286,689.6452481746674,0,25,63,131,173,201,232,277,0,23,60,131
Cole_Hardware_Dishtowel_Blue,192,417.4361720085144,1,13,34,85,94,120,144,176,1,12,32,84
Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,18,73.49558091163635,0,0,3,7,4,9,11,14,0,0,2,7
Womens_Bluefish_2Eye_Boat_Shoe_in_Tan,262,525.7429046630859,3,17,43,115,149,175,197,246,3,17,41,115
Super_Mario_3D_World_Wii_U_Game,17,74.53802990913391,0,4,4,7,6,6,7,14,0,4,4,7
Perricone_MD_OVM,273,226.2704403400421,7,32,77,162,189,221,251,270,7,31,77,162
GoPro_HERO3_Composite_Cable,509,3552.685054540634,24,135,250,387,190,237,295,435,19,97,183,357
Olive_Kids_Birdie_Munch_n_Lunch,1,35.231321811676025,0,0,0,0,1,1,1,1,0,0,0,0
PureCadence_2_Color_TleBluLmePnchSlvMoodIndgWh_Size_50_EEzAfcBfHHO,112,259.536826133728,0,6,15,43,63,71,90,110,0,6,15,43
Timberland_Womens_Waterproof_Nellie_Chukka_Double,80,294.0566337108612,0,6,10,27,40,50,59,77,0,6,10,27
Womens_Sparkle_Suede_Bahama_in_Silver_Sparkle_Suede_Grey_Patent_tYrIBLMhSTN,259,678.9157996177673,2,21,55,146,158,188,223,252,2,21,55,145
Razer_Blackwidow_Tournament_Edition_Keyboard,14,72.0827488899231,0,0,2,6,10,10,11,14,0,0,2,6
071_nine_hole_peg_test,85,150.95460677146912,3,5,16,40,50,61,69,84,3,5,16,39
5_HTP,523,436.4498043060303,18,91,217,403,353,404,448,506,17,85,203,396
Prostate_Optimizer,508,404.3867061138153,17,69,177,334,363,407,460,497,17,67,170,332
ZX700_mf9Pc06uL06,90,248.74504017829892,1,9,15,35,47,61,74,88,1,9,15,35
Cole_Hardware_Orchid_Pot_85,31,145.329407453537,0,2,5,15,21,25,27,29,0,2,5,15
Great_Jones_Wingtip_wxH3dbtlvBC,127,337.3935663700104,2,10,22,51,79,92,111,125,2,10,22,51
025_mug,531,1497.2171006202698,9,73,153,329,334,394,448,515,9,70,145,324
015_peach,371,348.2768745422363,51,240,318,348,313,321,323,335,47,228,302,335
COAST_GUARD_BOAT,476,467.30604577064514,14,83,165,323,266,312,370,454,13,71,147,314
Mens_Wave_Driver_Kiltie_Moc_in_Tan_Leather,207,518.6019728183746,1,16,49,103,128,153,179,203,1,16,49,103
Office_Depot_Dell_Series_1_Remanufactured_Ink_Cartridge_Black,329,272.2176070213318,3,41,105,202,217,257,294,327,2,36,100,202
065-f_cups,766,3428.630948781967,19,112,214,459,418,519,612,735,16,95,191,446
Mens_Santa_Cruz_Thong_in_Tan_r59C69daRPh,135,280.1826345920563,0,16,32,69,83,95,106,130,0,16,31,69
Santa_Cruz_Mens,138,363.4383761882782,1,7,17,41,74,90,109,130,1,7,17,41
Magnifying_Glassassrt,387,1240.5866205692291,8,66,153,289,189,231,274,350,6,56,130,273
Womens_Sequin_Bahama_in_White_Sequin_XoR8xTlxj1g,173,525.0257267951965,1,10,31,66,111,127,146,169,1,10,31,66
Womens_Multi_13,511,396.5832278728485,21,87,176,329,363,413,466,501,20,82,167,325
Olive_Kids_Dinosaur_Land_Lunch_Box,0,54.4171793460846,0,0,0,0,0,0,0,0,0,0,0,0
Gigabyte_GAZ97XSLI_10_motherboard_ATX_LGA1150_Socket_Z97,0,29.90938234329224,0,0,0,0,0,0,0,0,0,0,0,0
Avengers_Thor_PLlrpYniaeB,40,135.8201825618744,0,2,4,13,23,26,28,36,0,2,4,12
Olive_Kids_Game_On_Munch_n_Lunch,1,36.04391670227051,0,0,0,0,1,1,1,1,0,0,0,0
Provence_Bath_Towel_Royal_Blue,1,55.96526265144348,0,0,0,0,0,0,0,1,0,0,0,0
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_K9e8FoV73uZ,177,475.7355110645294,4,14,37,79,109,124,146,168,4,14,37,79
Crayola_Model_Magic_Modeling_Material_White_3_oz,69,142.71272087097168,1,2,9,19,34,46,49,64,1,2,9,19
Home_Fashions_Washcloth_Linen,85,167.8942949771881,0,4,12,28,31,36,47,71,0,4,12,28
The_Coffee_Bean_Tea_Leaf_KCup_Packs_Jasmine_Green_Tea_16_count,16,75.07803201675415,0,0,2,5,8,10,14,16,0,0,2,5
Tory_Burch_Sabe_65mm_Bootie_Split_Suede_in_Caramel,149,553.2635455131531,2,17,32,60,92,108,124,145,2,17,31,60
ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange,155,286.4991307258606,1,9,21,64,73,96,121,152,1,8,21,64
Marc_Anthony_Skip_Professional_Oil_of_Morocco_Conditioner_with_Argan_Oil,343,372.305025100708,1,25,75,157,181,226,276,327,1,19,68,152
DANCING_ALLIGATOR_zoWBjc0jbTs,199,267.1191837787628,0,12,30,78,117,141,162,198,0,11,28,78
PhosphOmega,520,402.70702838897705,19,80,159,309,365,414,456,500,19,74,149,303
Germanium_GE132,470,421.6023542881012,24,103,222,412,308,362,418,451,18,93,210,401
Philips_Sonicare_Tooth_Brush_2_count,0,43.53693103790283,0,0,0,0,0,0,0,0,0,0,0,0
Pinwheel_Pencil_Case,250,258.657742023468,3,36,68,113,152,174,221,246,3,36,68,113
SPEED_BOAT,405,402.63818645477295,10,61,144,275,263,302,340,397,10,57,139,275
Little_House_on_the_Prairie_Season_Two_5_Discs_Includes_Digital,33,80.63113212585449,0,3,6,14,11,14,20,28,0,3,5,14
Black_Forest_Fruit_Snacks_Juicy_Filled_Centers_10_pouches_9_oz_total,19,64.05112171173096,0,0,0,5,6,9,17,19,0,0,0,5
Cole_Hardware_Butter_Dish_Square_Red,363,417.26652097702026,9,62,123,224,221,267,315,357,6,58,116,222
Reebok_FS_HI_MINI,164,439.8571956157684,3,9,27,56,88,111,134,158,3,7,25,55
Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_RpT4GvUXRRP,264,629.665890455246,5,22,70,141,170,196,221,257,5,21,68,141
