name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Perricone_MD_No_Foundation_Serum,648,316.09585428237915,309,475,548,598,514,539,566,600,308,460,528,590
Remington_1_12_inch_Hair_Straightener,663,349.5647397041321,206,370,461,566,473,507,541,609,198,353,442,555
024_bowl,363,267.72320103645325,78,150,207,267,167,189,227,308,68,125,181,259
Womens_Audrey_Slip_On_Boat_Shoe_in_Graphite_Nubuck_xWVkCJ5vxZe,547,330.0544104576111,203,309,387,486,387,426,461,512,199,299,375,479
Office_Depot_HP_2_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,444,225.45920538902283,161,269,323,387,314,342,368,412,159,261,313,383
Cole_Hardware_Saucer_Glazed_6,448,271.8618698120117,82,178,251,340,176,213,256,360,74,147,207,319
003_cracker_box,184,113.81489038467409,84,131,150,167,161,164,168,181,84,131,150,167
Paul_Frank_Dot_Lunch_Box,95,70.78308844566345,46,64,77,86,85,89,90,94,46,64,77,86
Olive_Kids_Dinosaur_Land_Pack_n_Snack,3,20.650563955307007,2,3,3,3,3,3,3,3,2,3,3,3
Melissa_Doug_Jumbo_Knob_Puzzles_Barnyard_Animals,236,89.85896444320679,24,46,70,120,65,91,105,181,20,42,60,114
Nescafe_Memento_Latte_Caramel_8_08_oz_23_g_packets_64_oz_184_g,354,176.62826895713806,154,245,282,335,298,311,325,350,154,245,281,335
Perricone_MD_AcylGlutathione_Eye_Lid_Serum,516,250.03984332084656,228,355,428,487,428,447,473,501,226,348,420,481
Squirrel,447,270.54918813705444,103,210,287,370,297,325,360,424,99,194,275,367
SAMe_200,485,234.05581831932068,219,332,396,443,382,395,413,447,219,325,384,434
Womens_Teva_Capistrano_Bootie,282,174.51389479637146,97,160,202,247,211,228,243,267,91,153,196,244
3D_Dollhouse_TablePurple,779,384.3776478767395,155,322,445,676,516,579,643,730,151,304,415,661
New_Super_Mario_BrosWii_Wii_Game,373,136.02679562568665,56,132,188,257,82,109,149,264,41,84,134,235
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Michelangelo,602,324.1517128944397,116,244,345,480,318,369,422,503,102,218,314,451
ASICS_GELTour_Lyte_WhiteOrchidSilver,333,219.1983642578125,142,212,263,298,265,277,288,316,139,206,254,292
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Leonardo,555,307.9672558307648,116,228,331,455,316,360,408,495,107,197,291,428
Jansport_School_Backpack_Blue_Streak,0,8.993343830108643,0,0,0,0,0,0,0,0,0,0,0,0
Santa_Cruz_Mens_G7kQXK7cIky,303,193.14707255363464,111,183,222,266,251,264,278,294,111,183,221,265
Mario_Party_9_Wii_Game,353,119.6058704853058,59,133,179,249,87,116,148,240,44,97,134,219
Reebok_CL_LTHR_R12,274,165.04349422454834,101,170,208,243,221,229,239,260,97,165,206,238
Sorry_Sliders_Board_Game,71,49.92194128036499,23,42,52,60,62,66,71,71,23,42,52,60
Perricone_MD_OVM,357,178.2419946193695,165,258,303,336,307,321,332,345,165,253,301,335
Office_Depot_Dell_Series_9_Color_Ink_Ink_Cartridge_MK991_MK993,499,233.92625308036804,227,344,401,454,409,419,427,460,227,342,396,445
Reebok_ZIGLITE_RUSH_AC,398,239.10196542739868,129,217,277,343,293,312,329,373,128,215,270,339
Office_Depot_Canon_CLI_221BK_Ink_Cartridge_Black_2946B001,485,237.3662450313568,217,332,394,440,382,399,417,448,216,331,387,430
072-a_toy_airplane,163,93.92343306541444,40,75,95,120,120,123,129,152,40,74,92,120
MOSAIC,236,92.46884870529176,42,94,130,171,76,87,117,186,33,69,102,162
Office_Depot_Dell_Series_11_Remanufactured_Ink_Cartridge_TriColor,459,239.69145607948303,173,292,349,413,331,352,379,424,173,282,338,400
015_peach,1000,476.3031749725342,956,993,1000,1000,1000,1000,1000,1000,956,993,1000,1000
MINI_EXCAVATOR,381,200.4402475357056,99,187,257,331,283,305,325,362,95,178,244,326
Whey_Protein_Chocolate_12_Packets,66,56.22953248023987,23,50,54,62,58,60,63,66,23,50,54,62
Neat_Solutions_Character_Bib_2_pack,167,89.88578653335571,12,40,70,113,73,81,104,138,12,34,65,112
Spritz_Easter_Basket_Plastic_Teal,81,64.43974590301514,20,33,44,59,49,52,57,73,20,32,43,59
054_softball,943,535.0803501605988,833,888,914,928,896,900,912,939,828,876,901,926
Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot,271,173.4744415283203,105,184,222,244,233,238,249,263,104,178,215,242
Ecoforms_Plant_Bowl_Atlas_Low,122,89.67601466178894,6,18,28,46,48,54,76,110,5,17,28,46
ALPHABET_AZ_GRADIENT,206,73.84418249130249,13,30,49,85,33,48,67,127,8,24,38,79
