name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Beyonc_Life_is_But_a_Dream_DVD,115,46.49254107475281,21,48,76,101,34,44,62,99,17,31,56,93
Timberland_Mens_Earthkeepers_Stormbuck_Chukka,0,4.44734263420105,0,0,0,0,0,0,0,0,0,0,0,0
070-b_colored_wood_blocks,525,143.94460248947144,515,524,525,525,509,514,520,525,507,514,520,525
Threshold_Porcelain_Serving_Bowl_Coupe_White,15,17.16838550567627,4,7,10,13,9,11,13,15,4,7,10,13
Schleich_Spinosaurus_Action_Figure,70,39.9297776222229,38,49,58,67,53,59,61,69,38,46,54,67
Twinlab_100_Whey_Protein_Fuel_Chocolate,0,2.0949923992156982,0,0,0,0,0,0,0,0,0,0,0,0
Connect_4_Launchers,0,1.4225153923034668,0,0,0,0,0,0,0,0,0,0,0,0
Threshold_Textured_Damask_Bath_Towel_Pink,0,2.520981311798096,0,0,0,0,0,0,0,0,0,0,0,0
Office_Depot_Canon_PG_240XL_Ink_Cartridge_Black_5206B001,0,1.8738563060760496,0,0,0,0,0,0,0,0,0,0,0,0
073-e_lego_duplo,37,22.18963623046875,33,36,36,36,36,36,36,36,33,36,36,36
Sperry_TopSider_tNB9t6YBUf3,0,4.29020619392395,0,0,0,0,0,0,0,0,0,0,0,0
Gigabyte_GAZ97XSLI_10_motherboard_ATX_LGA1150_Socket_Z97,0,2.236257553100586,0,0,0,0,0,0,0,0,0,0,0,0
Spectrum_Wall_Mount,27,25.553831338882446,20,24,27,27,20,22,24,26,18,22,24,26
Ecoforms_Planter_Pot_GP12AAvocado,1,8.303754806518555,0,0,1,1,1,1,1,1,0,0,1,1
Toysmith_Windem_Up_Flippin_Animals_Dog,147,71.66145634651184,143,147,147,147,146,147,147,147,142,147,147,147
Seagate_1TB_Backup_Plus_portable_drive_Blue,200,64.22461724281311,66,117,149,171,56,73,109,166,42,60,97,151
Organic_Whey_Protein_Unflavored,0,2.242155075073242,0,0,0,0,0,0,0,0,0,0,0,0
Philips_EcoVantage_43_W_Light_Bulbs_Natural_Light_2_pack,0,1.5909297466278076,0,0,0,0,0,0,0,0,0,0,0,0
ZX700_mzGbdP3u6JB,1,5.642789363861084,0,0,1,1,1,1,1,1,0,0,1,1
ZX700_mf9Pc06uL06,0,3.4973206520080566,0,0,0,0,0,0,0,0,0,0,0,0
Little_House_on_the_Prairie_Season_Two_5_Discs_Includes_Digital,46,18.97623920440674,17,34,37,43,32,40,46,46,14,30,37,43
006_mustard_bottle,0,2.743814468383789,0,0,0,0,0,0,0,0,0,0,0,0
072-b_toy_airplane,24,10.665166854858398,11,16,19,23,20,22,23,24,11,16,19,23
051_large_clamp,103,42.342904806137085,59,95,102,102,85,93,100,103,55,88,100,102
Canon_Pixma_Ink_Cartridge_8,77,29.52865719795227,60,75,76,77,64,70,75,77,57,70,75,77
Wilton_PreCut_Parchment_Sheets_10_x_15_24_sheets,0,1.1312127113342283,0,0,0,0,0,0,0,0,0,0,0,0
KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces,0,3.4857993125915527,0,0,0,0,0,0,0,0,0,0,0,0
PEEKABOO_ROLLER,0,2.2497403621673584,0,0,0,0,0,0,0,0,0,0,0,0
D_ROSE_45,1,6.253235578536987,0,0,0,1,1,1,1,1,0,0,0,1
Perricone_MD_Vitamin_C_Ester_Serum,0,1.3990490436553955,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Bluefish_2Eye_Boat_Shoe_in_Linen_Natural_Sparkle_Suede_kqi81aojcOR,2,5.329767227172852,0,2,2,2,1,1,2,2,0,1,2,2
Threshold_Salad_Plate_Square_Rim_Porcelain,22,19.68785524368286,9,16,18,21,17,17,20,22,9,16,17,21
Perricone_MD_Hypoallergenic_Firming_Eye_Cream_05_oz,0,1.7448875904083252,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Dishtowel_Blue,80,37.65643954277039,27,41,50,67,33,36,51,73,20,31,42,64
Sterilite_Caddy_Blue_Sky_17_58_x_12_58_x_9_14,2,5.669843673706055,1,1,1,1,1,2,2,2,1,1,1,1
031_spoon,322,119.75597095489502,154,224,275,307,189,209,243,296,135,187,233,292
Threshold_Basket_Natural_Finish_Fabric_Liner_Small,6,10.958721160888672,4,5,6,6,6,6,6,6,4,5,6,6
The_Coffee_Bean_Tea_Leaf_KCup_Packs_Jasmine_Green_Tea_16_count,0,1.8802645206451416,0,0,0,0,0,0,0,0,0,0,0,0
FRUIT_VEGGIE_MEMO_GRADIENT,46,27.868481874465942,12,25,30,35,20,24,28,43,11,22,26,34
Weisshai_Great_White_Shark,64,36.248331785202026,49,58,61,64,57,59,60,64,49,57,60,64
WHALE_WHISTLE_6PCS_SET,65,26.88102149963379,62,65,65,65,60,62,64,65,59,62,64,65
Shurtape_30_Day_Removal_UV_Delct_15,68,22.218998670578003,27,48,65,68,40,52,59,68,27,45,59,68
Tiek_Blue_Patent_Tieks_Italian_Leather_Ballet_Flats,1,5.167134046554565,0,1,1,1,1,1,1,1,0,1,1,1
072-d_toy_airplane,483,190.01299166679385,399,455,473,481,429,442,460,481,397,440,459,479
Fresca_Peach_Citrus_Sparkling_Flavored_Soda_12_PK,0,1.2418930530548096,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Container_FB6_Tur,1,9.59619116783142,0,0,0,0,0,0,0,1,0,0,0,0
043_phillips_screwdriver,335,118.59140396118164,304,329,335,335,312,317,322,332,300,317,322,332
2_of_Jenga_Classic_Game,0,2.4404971599578857,0,0,0,0,0,0,0,0,0,0,0,0
3D_Dollhouse_Lamp,185,63.07404613494873,74,121,147,166,118,138,147,172,73,112,136,162
Cole_Hardware_Dishtowel_Stripe,91,37.14662790298462,20,39,54,80,44,51,59,86,20,37,48,77
BIRD_RATTLE,61,33.602580308914185,50,58,59,61,54,58,60,61,47,57,58,61
3D_Dollhouse_Swing,9,12.569111824035645,7,9,9,9,9,9,9,9,7,9,9,9
Poppin_File_Sorter_Pink,23,20.944579124450684,8,13,16,21,10,12,18,22,5,10,14,20
Canon_Pixma_Ink_Cartridge_8_Green,98,36.79173135757446,72,91,97,98,76,85,91,98,66,84,91,98
KITCHEN_SET_CLASSIC_40HwCHfeG0H,1,2.7032599449157715,1,1,1,1,1,1,1,1,1,1,1,1
Mattel_SKIP_BO_Card_Game,85,32.07287883758545,28,48,60,76,43,60,71,85,23,35,53,76
Kotobuki_Saucer_Dragon_Fly,64,46.77295708656311,44,60,64,64,40,43,50,64,37,43,50,64
Mens_Bahama_in_Khaki_Oyster_xU2jeqYwhQJ,2,3.6505398750305176,0,0,0,0,0,0,0,2,0,0,0,0
Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,0,2.59572696685791,0,0,0,0,0,0,0,0,0,0,0,0
45oz_RAMEKIN_ASST_DEEP_COLORS,19,20.87132048606873,13,17,18,19,14,17,18,18,13,16,18,18
Womens_Bluefish_2Eye_Boat_Shoe_in_White_Tumbled_YG44xIePRHw,3,4.940428733825684,1,1,1,1,1,1,1,1,1,1,1,1
CHICKEN_NESTING,0,2.403043270111084,0,0,0,0,0,0,0,0,0,0,0,0
DPC_Handmade_Hat_Brown,1,9.4559588432312,0,0,0,0,0,0,0,1,0,0,0,0
Room_Essentials_Fabric_Cube_Lavender,0,22.056600093841556,0,0,0,0,0,0,0,0,0,0,0,0
BUNNY_RATTLE,161,76.10336875915527,96,129,146,159,109,118,128,153,90,114,127,152
Great_Jones_Wingtip_kAqSg6EgG0I,0,3.2385754585266118,0,0,0,0,0,0,0,0,0,0,0,0
ReadytoUse_Rolled_Fondant_Pure_White_24_oz_box,0,1.611295461654663,0,0,0,0,0,0,0,0,0,0,0,0
MINI_FIRE_ENGINE,10,9.73880386352539,3,6,7,8,8,8,8,9,3,6,7,8
Teenage_Mutant_Ninja_Turtles_Rahzar_Action_Figure,62,35.44714903831482,32,47,55,61,49,52,57,62,32,45,54,61
Womens_Suede_Bahama_in_Graphite_Suede_p1KUwoWbw7R,33,20.3556764125824,13,19,21,28,16,21,27,33,9,16,20,28
Mens_Striper_Sneaker_in_White_rnp8HUli59Y,3,5.302813529968262,0,0,2,2,2,2,2,3,0,0,2,2
Wooden_ABC_123_Blocks_50_pack,0,2.365427732467652,0,0,0,0,0,0,0,0,0,0,0,0
InterDesign_Over_Door,99,47.69916272163391,25,52,67,81,70,75,79,96,24,51,64,81
Ultra_JarroDophilus,0,1.7458677291870115,0,0,0,0,0,0,0,0,0,0,0,0
Sootheze_Toasty_Orca,3,8.049200534820557,3,3,3,3,3,3,3,3,3,3,3,3
Reebok_FS_HI_INT_R12,2,4.782725095748901,1,1,1,2,2,2,2,2,1,1,1,2
Perricone_MD_The_Metabolic_Formula_Supplements,0,1.688037395477295,0,0,0,0,0,0,0,0,0,0,0,0
Wilton_Easy_Layers_Cake_Pan_Set,0,2.195953845977783,0,0,0,0,0,0,0,0,0,0,0,0
Big_O_Sponges_Assorted_Cellulose_12_pack,168,62.04640698432922,77,111,143,160,53,66,90,150,47,63,90,150
