name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Perricone_MD_Hypoallergenic_Gentle_Cleanser,119,58.67052054405213,15,53,84,105,80,94,106,115,13,49,80,105
Womens_Authentic_Original_Boat_Shoe_in_Classic_Brown_Leather_cJSCWiH7QmB,131,74.70105385780334,7,46,74,100,60,69,80,103,7,38,62,92
Reebok_SH_PRIME_COURT_LOW,50,32.07663083076477,3,11,23,34,26,30,33,37,3,11,22,34
BUNNY_RACER,189,70.26619029045105,9,58,96,136,54,65,87,127,6,38,75,119
BABY_CAR,202,82.96425366401672,10,67,111,158,51,69,93,135,6,44,85,132
ACE_Coffee_Mug_Kristen_16_oz_cup,101,59.93071889877319,6,44,58,68,47,50,61,78,5,38,51,65
Snack_Catcher_Snack_Dispenser,98,55.43839812278748,6,62,74,80,52,56,64,81,3,50,63,77
Frozen_Scrabble_Jr,71,31.81461524963379,3,7,19,39,27,31,41,63,3,7,18,39
D_ROSE_773_II_Kqclsph05pE,42,28.32104992866516,1,3,15,28,17,20,23,33,1,2,11,25
BUILD_A_ZOO,158,74.54147815704346,3,23,42,65,22,33,47,91,3,12,24,53
Olive_Kids_Butterfly_Garden_Pencil_Case,37,23.65810871124268,1,15,25,28,22,23,26,33,1,14,24,27
Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,0,3.92457127571106,0,0,0,0,0,0,0,0,0,0,0,0
Android_Lego,472,233.93634605407715,29,132,221,333,74,97,128,260,16,76,118,244
STACKING_BEAR,131,55.30297255516052,3,26,57,97,54,61,77,107,3,22,44,91
PureCadence_2_Color_TleBluLmePnchSlvMoodIndgWh_Size_50_EEzAfcBfHHO,54,33.61854696273804,0,10,14,28,20,23,29,37,0,9,14,27
Beta_Glucan,527,181.3920633792877,35,274,380,458,263,294,360,450,24,223,324,433
Grreat_Choice_Dog_Double_Dish_Plastic_Blue,39,23.23276662826538,1,3,5,8,2,3,6,20,1,3,3,8
016_pear,636,216.28622961044312,80,397,505,581,402,439,486,563,65,356,458,553
Ecoforms_Plant_Container_URN_NAT,39,24.61925172805786,1,3,6,10,6,10,14,24,1,2,5,9
OXO_Cookie_Spatula,657,284.652391910553,59,190,298,461,95,139,187,370,36,90,157,325
Toysmith_Windem_Up_Flippin_Animals_Dog,759,400.2635498046875,55,328,480,665,210,256,308,485,32,205,286,469
Philips_EcoVantage_43_W_Light_Bulbs_Natural_Light_2_pack,87,45.64618110656738,19,53,70,83,65,69,79,87,17,49,69,83
Retail_Leadership_Summit_eCT3zqHYIkX,82,54.19978785514832,2,8,15,29,13,16,23,45,1,7,12,28
TWISTED_PUZZLE,237,100.2978332042694,3,28,60,130,34,42,65,135,3,20,38,107
Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,368,148.74328303337097,7,76,167,253,52,70,103,223,5,40,85,199
Nestle_Pure_Life_Exotics_Sparkling_Water_Strawberry_Dragon_Fruit_8_count_12_fl_oz_can_aX0ygjh3bxi,0,4.75518274307251,0,0,0,0,0,0,0,0,0,0,0,0
Seagate_1TB_Backup_Plus_portable_drive_Blue,433,175.6126368045807,20,120,198,287,53,71,106,238,15,55,90,209
Mens_Bahama_in_Khaki_Oyster_xU2jeqYwhQJ,78,44.52519607543945,3,14,33,55,33,43,47,65,2,12,29,53
HELICOPTER,275,120.33924913406372,16,66,113,195,60,74,99,178,14,46,77,155
Threshold_Bamboo_Ceramic_Soap_Dish,224,105.82887864112854,15,59,104,164,45,64,84,137,12,39,68,131
FemDophilus,336,131.79042887687683,26,190,258,311,202,228,270,321,21,164,238,302
Dino_3,292,130.804292678833,5,28,53,119,34,56,84,160,4,16,38,91
Mens_ASV_Billfish_Boat_Shoe_in_Tan_Leather_wmUJ5PbwANc,35,26.55085921287537,0,7,10,19,11,13,17,23,0,6,10,18
adiZero_Slide_2_SC,114,53.69036746025085,2,14,23,53,13,22,36,66,0,12,19,43
Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_RpT4GvUXRRP,141,75.34675073623657,8,39,70,103,56,62,76,104,8,32,61,93
BlackBlack_Nintendo_3DSXL,272,130.74985885620117,8,51,89,164,28,49,69,149,6,29,50,121
Womens_Bluefish_2Eye_Boat_Shoe_in_White_Tumbled_YG44xIePRHw,134,75.83806014060974,16,40,69,98,56,70,81,106,15,39,63,92
Twinlab_100_Whey_Protein_Fuel_Cookies_and_Cream,0,3.393557548522949,0,0,0,0,0,0,0,0,0,0,0,0
GARDEN_SWING,86,45.195428133010864,2,8,12,20,6,10,18,36,1,5,11,17
Reebok_KAMIKAZE_II_MID,26,20.72716188430786,1,6,13,17,12,14,17,23,1,6,13,17
Reebok_ULTIMATIC_2V,70,41.59612727165222,6,28,42,58,37,41,51,59,5,25,41,57
Ecoforms_Plant_Container_Quadra_Turquoise_QP12,6,20.09804344177246,0,0,1,2,2,2,3,4,0,0,1,2
Grreatv_Choice_Dog_Bowl_Gray_Bones_Plastic_20_fl_oz_total,133,75.68551731109619,4,8,26,57,12,20,33,60,1,4,18,50
Crazy_Shadow_2,38,21.5899510383606,1,5,12,20,15,19,20,29,1,5,12,20
Epson_Ink_Cartridge_126_Yellow,352,145.19343423843384,8,81,156,243,40,58,87,192,2,40,72,169
Cootie_Game_tDhURNbfU5J,0,5.171797037124634,0,0,0,0,0,0,0,0,0,0,0,0
Kotobuki_Saucer_Dragon_Fly,564,304.7028052806854,76,217,342,492,73,98,143,316,38,85,138,312
TURBOPROP_AIRPLANE_WITH_PILOT,351,169.29732966423035,18,86,166,266,60,88,128,213,7,52,109,206
Office_Depot_Canon_CLI_8Y_Ink_Cartridge_Yellow_0623B002,195,88.78766703605652,6,73,123,174,76,97,130,172,4,59,105,164
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_Kit_Jet_Black_M60,252,112.21388506889345,20,102,143,198,92,119,146,207,14,75,113,181
073-g_lego_duplo,108,51.35303544998169,2,9,15,47,12,17,30,64,1,4,11,44
Perricone_MD_Blue_Plasma_Orbital,154,69.97540640830994,13,71,106,139,72,88,109,143,10,59,91,135
Melissa_Doug_Shape_Sorting_Clock,136,56.79705595970154,2,16,26,58,31,39,53,94,2,10,22,52
Ortho_Forward_Facing_3Q6J2oKJD92,51,25.84106397628784,1,14,26,37,23,31,33,42,1,12,24,37
My_First_Wiggle_Crocodile,339,145.23205637931824,31,122,176,253,117,143,179,250,24,97,153,224
002_master_chef_can,0,7.662496089935303,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Saucer_S17MOCHA,311,149.8844437599182,16,71,127,203,55,67,96,193,12,47,81,165
Little_Debbie_Chocolate_Cupcakes_8_ct,90,40.39097023010254,2,24,37,59,42,50,61,78,2,20,33,54
Tag_Dishtowel_18_x_26,260,104.90127873420715,6,47,72,134,33,49,72,147,3,33,50,112
Ortho_Forward_Facing_QCaor9ImJ2G,42,33.43356156349182,2,9,18,27,22,23,28,34,2,7,17,26
Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,168,72.14616131782532,3,22,51,93,37,50,71,130,2,13,32,84
