name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Office_Depot_Canon_CLI36_Remanufactured_Ink_Cartridge_TriColor,36,139.51021695137024,1,4,9,19,16,23,30,36,0,4,9,19
Schleich_Hereford_Bull,134,330.2066524028778,5,21,47,98,50,73,97,129,4,18,44,97
Sootheze_Toasty_Orca,2,36.74579095840454,0,0,0,0,0,0,0,2,0,0,0,0
Tag_Dishtowel_Waffle_Gray_Checks_18_x_26,5,69.95235133171082,0,0,0,0,1,1,2,3,0,0,0,0
Footed_Bowl_Sand,9,58.31205940246582,0,0,0,2,0,1,3,7,0,0,0,1
PUNCH_DROP_TjicLPMqLvz,6,59.374804973602295,0,0,0,0,1,3,5,6,0,0,0,0
Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,7,64.22982668876648,0,0,0,3,1,2,5,7,0,0,0,3
Transformers_Age_of_Extinction_Mega_1Step_Bumblebee_Figure,16,90.40992379188538,0,0,0,0,3,5,8,14,0,0,0,0
MINI_FIRE_ENGINE,28,113.83157873153688,0,0,0,7,10,14,17,27,0,0,0,7
MOSAIC,8,57.02301478385925,0,0,0,3,4,4,5,7,0,0,0,3
3D_Dollhouse_Sofa,16,75.24800157546997,1,2,2,3,5,5,8,14,1,1,1,3
Reebok_DMX_MAX_PLUS_ATHLETIC,3,59.11384892463684,0,0,0,0,0,0,0,3,0,0,0,0
Seagate_3TB_Central_shared_storage,9,65.6090886592865,0,0,0,0,2,3,3,7,0,0,0,0
Netgear_Ac1750_Router_Wireless_Dual_Band_Gigabit_Router,0,19.320178031921387,0,0,0,0,0,0,0,0,0,0,0,0
Horses_in_Pink_Pencil_Case,19,104.91069412231444,0,0,2,11,15,17,18,19,0,0,2,11
Court_Attitude,3,49.23519372940064,0,0,0,0,0,1,1,2,0,0,0,0
BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,3,30.65754270553589,0,0,0,0,0,0,0,2,0,0,0,0
adizero_5Tool_25,8,94.45937275886536,0,0,0,1,3,4,5,7,0,0,0,1
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,50,159.62427616119385,0,0,9,21,24,30,40,47,0,0,9,21
Sonicare_2_Series_Toothbrush_Plaque_Control,0,25.077693223953247,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Container_URN_NAT,5,57.192765951156616,0,0,0,0,0,1,1,2,0,0,0,0
Central_Garden_Flower_Pot_Goo_425,48,157.18752455711365,0,0,1,14,14,18,22,40,0,0,1,13
Melissa_Doug_Cart_Turtle_Block,7,36.71956968307495,0,1,1,3,1,4,4,7,0,1,1,3
Office_Depot_HP_2_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,41,144.78383541107178,0,1,6,19,21,26,34,41,0,1,6,19
Olive_Kids_Birdie_Lunch_Box,0,15.438631057739258,0,0,0,0,0,0,0,0,0,0,0,0
Mad_Gab_Refresh_Card_Game,1,28.21095561981201,0,0,0,0,0,1,1,1,0,0,0,0
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Raphael,156,299.32516264915466,1,9,29,67,40,50,85,143,1,5,25,65
Reebok_CL_RAYEN,6,44.96928286552429,0,0,0,0,1,1,6,6,0,0,0,0
SNAIL_MEASURING_TAPE,179,331.55317187309265,0,7,43,130,80,103,135,167,0,6,42,128
Crazy_Shadow_2_oW4Jd10HFFr,5,65.84239840507507,0,0,0,1,1,2,4,5,0,0,0,1
Sleep_Optimizer,12,125.98437809944151,0,0,2,7,2,4,8,12,0,0,2,7
Phillips_Milk_of_Magnesia_Saline_Laxative_Liquid_Original,56,201.6556248664856,1,5,12,28,23,31,41,51,1,4,12,28
Hasbro_Dont_Wake_Daddy_Board_Game,0,16.673668146133423,0,0,0,0,0,0,0,0,0,0,0,0
Mastic_Gum,189,455.264835357666,10,56,93,162,80,103,143,187,9,40,78,161
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_9d05GG33QQQ,10,87.04345870018005,0,0,1,3,1,1,5,10,0,0,0,3
Toysmith_Windem_Up_Flippin_Animals_Dog,35,369.8395116329193,8,24,29,34,16,19,21,24,7,18,21,24
Canon_Pixma_Ink_Cartridge_Cyan_251,21,135.26902890205383,1,2,3,9,3,8,13,20,1,1,1,9
Ecoforms_Plant_Container_FB6_Tur,10,61.43868565559387,0,0,0,0,1,2,2,6,0,0,0,0
Womens_Sequin_Bahama_in_White_Sequin_yGVsSA4tOwJ,18,106.18390417099,0,0,0,6,7,12,13,18,0,0,0,6
Utana_5_Porcelain_Ramekin_Large,66,168.2592475414276,1,1,2,13,10,15,27,56,1,1,2,12
BABY_CAR,222,447.3089265823364,0,9,30,143,74,118,176,219,0,5,27,143
Reebok_TURBO_RC,4,64.92505216598511,0,0,0,0,0,0,1,4,0,0,0,0
Reebok_REALFLEX_SELECT,6,57.881038427352905,0,0,0,0,1,1,3,3,0,0,0,0
3D_Dollhouse_Sink,30,120.64117407798769,0,0,1,5,9,15,21,27,0,0,1,5
Glycerin_11_Color_AqrsDrsdnBluBlkSlvShckOrng_Size_50,4,70.23815703392029,0,0,0,0,1,2,2,4,0,0,0,0
Cootie_Game_tDhURNbfU5J,0,15.937416791915894,0,0,0,0,0,0,0,0,0,0,0,0
SIT_N_WALK_PUPPY,70,187.5998706817627,0,3,8,31,28,34,45,64,0,3,8,31
BUNNY_RATTLE,163,326.04577803611755,2,10,30,94,29,46,75,128,2,9,26,87
Markings_Desk_Caddy,11,59.705157995224,0,0,1,1,2,2,4,9,0,0,1,1
Persona_Q_Shadow_of_the_Labyrinth_Nintendo_3DS,13,105.38588237762453,0,0,0,3,4,6,7,13,0,0,0,3
