name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
AllergenFree_JarroDophilus,165,360.12850165367126,2,56,106,158,93,108,125,162,2,54,99,157
Real_Deal_1nIwCHX1MTh,2,47.96909785270691,0,1,1,1,1,1,2,2,0,1,1,1
Black_Decker_Stainless_Steel_Toaster_4_Slice,0,12.208365201950071,0,0,0,0,0,0,0,0,0,0,0,0
Razer_Goliathus_Control_Edition_Small_Soft_Gaming_Mouse_Mat,12,134.22077560424805,3,5,8,10,5,6,10,11,3,5,7,10
CAR_CARRIER_TRAIN,175,359.4911563396454,32,103,143,165,103,117,137,167,28,89,130,160
JarroDophilusFOS_Value_Size,74,214.0094120502472,3,14,37,62,31,40,51,74,3,13,30,62
SCHOOL_BUS,122,495.2205059528351,21,93,116,122,80,93,101,121,20,79,99,121
CREATIVE_BLOCKS_35_MM,0,48.7831346988678,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_BREAKPOINT_LO_2V,22,131.30673503875732,1,8,14,20,14,16,20,22,0,4,13,20
065-i_cups,55,157.43861317634585,2,9,22,39,25,33,42,47,2,9,22,35
Perricone_MD_Omega_3_Supplements,0,70.47927618026733,0,0,0,0,0,0,0,0,0,0,0,0
Asus_Z97AR_LGA_1150_Intel_ATX_Motherboard,0,20.0454044342041,0,0,0,0,0,0,0,0,0,0,0,0
Melissa_Doug_Pound_and_Roll,7,44.62388348579407,0,3,4,4,4,5,5,7,0,3,4,4
MINI_FIRE_ENGINE,29,98.30253291130066,1,8,15,24,16,23,24,29,1,8,15,24
Asus_X99Deluxe_Motherboard_ATX_LGA2011v3_Socket,0,14.18636989593506,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Audrey_Slip_On_Boat_Shoe_in_Graphite_Nubuck_xWVkCJ5vxZe,47,156.19834756851196,1,17,30,41,29,31,41,46,1,14,29,41
Womens_Sparkle_Suede_Angelfish_in_Grey_Sparkle_Suede_Silver,41,150.4260470867157,3,21,35,41,30,32,38,41,3,15,32,41
Perricone_MD_Skin_Clear_Supplements,0,45.62506294250488,0,0,0,0,0,0,0,0,0,0,0,0
Canon_225226_Ink_Cartridges_BlackColor_Cyan_Magenta_Yellow_6_count,1,56.33313870429993,0,0,0,1,0,1,1,1,0,0,0,1
Melissa_Doug_Felt_Food_Pizza_Set,5,105.20997953414916,0,1,3,5,2,3,4,5,0,1,3,5
Dino_3,104,225.77502751350403,18,45,72,88,51,60,77,99,14,39,62,86
073-f_lego_duplo,729,670.4693422317505,38,198,395,655,249,358,476,714,30,157,334,647
Now_Designs_Dish_Towel_Mojave_18_x_28,13,118.18197107315063,1,4,8,10,8,8,9,13,1,4,7,10
Threshold_Porcelain_Spoon_Rest_White,129,230.7209348678589,30,71,98,111,64,74,92,114,23,56,84,109
Office_Depot_Canon_PGI5BK_Remanufactured_Ink_Cartridge_Black,12,144.81978011131287,0,0,3,8,4,5,7,12,0,0,3,8
Rose_Garden_Tieks_Leather_Ballet_Flats_with_Floral_Rosettes,55,170.86660480499268,3,17,34,50,27,33,46,53,2,12,30,49
Womens_Suede_Bahama_in_Graphite_Suede_t22AJSRjBOX,28,132.86090683937073,1,7,15,28,20,24,26,28,1,6,15,28
5_HTP,190,403.9137270450592,15,87,142,187,120,135,151,189,15,85,133,187
Cole_Hardware_Antislip_Surfacing_Material_White,6,31.285866022109985,0,0,0,2,2,2,2,6,0,0,0,2
D_ROSE_773_II_hvInJwJ5HUD,3,55.16673922538757,0,1,2,2,2,2,2,3,0,1,2,2
Cole_Hardware_Dishtowel_Red,13,164.72987484931946,3,6,9,13,5,10,12,13,2,6,9,13
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Raphael,185,319.56656432151794,22,70,113,153,106,118,147,179,20,58,100,150
PureCadence_2_Color_HiRskRedNghtlfeSlvrBlckWht_Size_70,0,63.02624487876892,0,0,0,0,0,0,0,0,0,0,0,0
FYW_DIVISION,0,44.69282913208008,0,0,0,0,0,0,0,0,0,0,0,0
Krill_Oil,144,357.46365332603455,6,59,102,138,82,96,113,144,6,59,93,138
Tory_Burch_Kiernan_Riding_Boot,0,45.818113803863525,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Cold_Plasma,8,78.11641216278076,0,0,1,5,2,3,3,8,0,0,1,5
Remington_1_12_inch_Hair_Straightener,146,276.348530292511,26,61,81,101,84,98,117,137,26,56,76,101
Animal_Planet_Foam_2Headed_Dragon,17,84.76586675643921,1,2,8,13,8,12,16,17,1,2,7,13
Epson_UltraChrome_T0548_Ink_Cartridge_Matte_Black_1pack,18,244.5223741531372,5,11,14,14,10,13,13,18,4,10,13,14
Baby_Elements_Stacking_Cups,5,47.616074323654175,0,0,0,0,2,2,4,5,0,0,0,0
Mens_ASV_Billfish_Boat_Shoe_in_Tan_Leather_wmUJ5PbwANc,13,73.70316004753113,0,0,1,8,8,11,11,13,0,0,1,8
Paper_Mario_Sticker_Star_Nintendo_3DS_Game,19,241.42780923843384,7,14,19,19,13,15,17,18,7,12,17,18
Envision_Home_Dish_Drying_Mat_Red_6_x_18,9,134.40060234069824,0,1,4,6,4,5,6,9,0,1,4,6
ClimaCool_Aerate_2_W_Wide,9,70.73988914489746,0,1,3,5,3,4,5,8,0,0,2,5
Little_House_on_the_Prairie_Season_Two_5_Discs_Includes_Digital,4,138.90514540672302,0,2,2,4,3,3,4,4,0,2,2,4
Razer_Taipan_White_Ambidextrous_Gaming_Mouse,103,281.82961869239807,16,57,85,96,43,51,68,97,11,40,63,92
Olive_Kids_Birdie_Pack_n_Snack,0,9.400468587875366,0,0,0,0,0,0,0,0,0,0,0,0
Asus_Z87PRO_Motherboard_ATX_LGA1150_Socket,0,27.42243218421936,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Washable_Sidewalk_Chalk_16_pack,4,68.61537575721741,0,1,2,3,3,3,3,4,0,1,2,3
SAPPHIRE_R7_260X_OC,0,30.541929721832275,0,0,0,0,0,0,0,0,0,0,0,0
Final_Fantasy_XIV_A_Realm_Reborn_60Day_Subscription,13,178.29020190238953,2,7,9,11,11,12,12,13,2,7,9,11
Room_Essentials_Salad_Plate_Turquoise,65,177.19745206832886,13,28,38,52,27,30,37,49,10,23,31,46
007_tuna_fish_can,227,338.87125968933105,24,128,197,221,87,122,162,219,20,93,153,214
HP_Card_Invitation_Kit,1,84.28493666648865,0,0,1,1,1,1,1,1,0,0,1,1
Poise_Ultimate_Pads_Long,0,4.801738023757935,0,0,0,0,0,0,0,0,0,0,0,0
Room_Essentials_Dish_Drainer_Collapsible_White,5,30.33047771453857,0,0,0,2,3,3,3,5,0,0,0,2
Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,1,76.59096550941467,0,0,0,0,0,0,1,1,0,0,0,0
008_pudding_box,82,210.69795989990237,2,26,61,78,38,45,58,82,2,25,51,78
11pro_SL_TRX_FG,11,85.90786719322205,1,1,3,5,3,6,7,11,0,1,3,5
Super_Mario_3D_World_Deluxe_Set,18,137.0615689754486,0,7,9,14,8,10,12,17,0,7,9,14
Rayna_BootieWP,6,110.58274602890016,1,2,3,5,4,4,5,6,1,1,3,5
Ecoforms_Pot_Nova_6_Turquoise,9,28.32672524452209,1,2,2,5,4,5,6,8,1,2,2,5
Timberland_Mens_Earthkeepers_Stormbuck_Lite_Plain_Toe_Oxford,8,75.30876040458679,0,1,3,3,4,5,8,8,0,1,3,3
Mens_Billfish_Slip_On_in_Coffee_nK6AJJAHOae,11,94.21144795417786,1,2,7,9,7,8,9,10,1,2,7,9
Canon_Ink_Cartridge_Green_6,34,205.49013471603396,3,11,16,24,13,15,21,32,3,11,16,24
