name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
036_wood_block,0,2.5030934810638428,0,0,0,0,0,0,0,0,0,0,0,0
Paint_Maker,0,3.041018486022949,0,0,0,0,0,0,0,0,0,0,0,0
Android_Figure_Panda,382,200.7556703090668,311,381,382,382,380,380,381,382,311,380,381,382
Razer_Blackwidow_Tournament_Edition_Keyboard,0,26.99305748939514,0,0,0,0,0,0,0,0,0,0,0,0
Lego_Friends_Advent_Calendar,0,3.121819019317627,0,0,0,0,0,0,0,0,0,0,0,0
006_mustard_bottle,3,36.81905555725098,2,2,2,3,2,3,3,3,2,2,2,3
Cole_Hardware_Butter_Dish_Square_Red,0,14.58078956604004,0,0,0,0,0,0,0,0,0,0,0,0
My_First_Rolling_Lion,3,46.36125111579895,0,3,3,3,3,3,3,3,0,3,3,3
UGG_Bailey_Button_Triplet_Womens_Boots_Black_7,0,8.729737997055054,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Bluefish_2Eye_Boat_Shoe_in_Brown_Deerskin_JJ2pfEHTZG7,0,20.952508449554443,0,0,0,0,0,0,0,0,0,0,0,0
Timberland_Mens_Earthkeepers_Casco_Bay_Suede_1Eye,0,14.3705894947052,0,0,0,0,0,0,0,0,0,0,0,0
3D_Dollhouse_TablePurple,17,24.353922605514526,11,16,17,17,16,17,17,17,10,16,17,17
Perricone_MD_Neuropeptide_Firming_Moisturizer,68,49.36996603012085,66,68,68,68,68,68,68,68,66,68,68,68
Avengers_Thor_PLlrpYniaeB,1,12.401644229888916,0,0,0,1,0,1,1,1,0,0,0,1
My_First_Wiggle_Crocodile,48,63.799882888793945,38,48,48,48,48,48,48,48,38,48,48,48
SCHOOL_BUS,207,156.63083386421204,131,184,200,207,128,140,151,192,109,140,151,192
Office_Depot_HP_96_Remanufactured_Ink_Cartridge_Black,4,23.74663782119751,1,2,2,3,2,3,3,3,1,2,2,3
Sushi_Mat,0,34.98175048828125,0,0,0,0,0,0,0,0,0,0,0,0
PINEAPPLE_MARACA_6_PCSSET,255,116.81313014030457,244,254,255,255,253,254,255,255,244,253,255,255
US_Army_Stash_Lunch_Bag,0,3.813317060470581,0,0,0,0,0,0,0,0,0,0,0,0
Nestle_Candy_19_oz_Butterfinger_Singles_116567,104,150.61316752433777,57,85,99,104,41,45,54,81,33,45,54,81
Office_Depot_Canon_CL_41_Remanufactured_Ink_Cartridge_TriColor,2,27.782734394073486,0,2,2,2,1,1,1,2,0,1,1,2
ASICS_GELResolution_5_Flash_YellowBlackSilver,0,7.240911483764648,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Hikerfish_Boot_in_Linen_Leather_Sparkle_Suede_imlP8VkwqIH,1,16.769858837127686,1,1,1,1,1,1,1,1,1,1,1,1
Jarrow_Formulas_Glucosamine_Hci_Mega_1000_100_ct,119,77.40011596679688,101,111,116,119,114,117,119,119,101,111,116,119
Lactoferrin,154,93.53510880470276,130,142,148,154,143,149,153,154,129,142,148,154
Threshold_Porcelain_Teapot_White,0,8.206684112548828,0,0,0,0,0,0,0,0,0,0,0,0
Timberland_Womens_Waterproof_Nellie_Chukka_Double,0,9.537872076034546,0,0,0,0,0,0,0,0,0,0,0,0
Rose_Garden_Tieks_Leather_Ballet_Flats_with_Floral_Rosettes,0,26.9600191116333,0,0,0,0,0,0,0,0,0,0,0,0
Full_Circle_Happy_Scraps_Out_Collector_Gray,0,10.428804874420166,0,0,0,0,0,0,0,0,0,0,0,0
002_master_chef_can,0,3.763880252838135,0,0,0,0,0,0,0,0,0,0,0,0
BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,0,6.960820198059082,0,0,0,0,0,0,0,0,0,0,0,0
Polar_Herring_Fillets_Smoked_Peppered_705_oz_total,4,73.83637022972107,1,3,3,4,1,1,1,2,1,1,1,2
Perricone_MD_Skin_Clear_Supplements,0,2.203127145767212,0,0,0,0,0,0,0,0,0,0,0,0
SNAIL_MEASURING_TAPE,95,74.55580544471741,89,95,95,95,95,95,95,95,89,95,95,95
Office_Depot_HP_932XL_Ink_Cartridge_Black_CN053A,1,26.66035556793213,1,1,1,1,1,1,1,1,1,1,1,1
Orbit_Bubblemint_Mini_Bottle_6_ct,0,9.283666610717772,0,0,0,0,0,0,0,0,0,0,0,0
Asus_Sabertooth_Z97_MARK_1_Motherboard_ATX_LGA1150_Socket,0,2.3839714527130127,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_FS_HI_MINI,0,16.517751455307007,0,0,0,0,0,0,0,0,0,0,0,0
FIRE_ENGINE,36,81.82653164863586,17,23,28,30,23,25,28,34,15,21,27,30
Curver_Storage_Bin_Black_Small,3,13.83663296699524,0,1,1,1,1,1,1,2,0,1,1,1
Sienna_Brown_Croc_Tieks_Patent_Leather_Crocodile_Print_Ballet_Flats,6,20.301980018615723,5,5,6,6,6,6,6,6,5,5,6,6
Nestle_Carnation_Cinnamon_Coffeecake_Kit_1913OZ,0,5.810595512390137,0,0,0,0,0,0,0,0,0,0,0,0
Retail_Leadership_Summit_tQFCizMt6g0,0,17.163559675216675,0,0,0,0,0,0,0,0,0,0,0,0
ZX700_mzGbdP3u6JB,0,8.699604749679565,0,0,0,0,0,0,0,0,0,0,0,0
042_adjustable_wrench,44,74.58818626403809,10,34,40,43,30,33,37,41,9,29,35,41
Reebok_STUDIO_BEAT_LOW_V,0,11.73326063156128,0,0,0,0,0,0,0,0,0,0,0,0
003_cracker_box,0,10.146286010742188,0,0,0,0,0,0,0,0,0,0,0,0
Marc_Anthony_True_Professional_Oil_of_Morocco_Argan_Oil_Treatment,38,62.366124629974365,20,25,28,32,24,27,31,37,19,22,26,32
Ecoforms_Plant_Container_GP16AMOCHA,0,11.155710458755491,0,0,0,0,0,0,0,0,0,0,0,0
Starstruck_Tieks_Glittery_Gold_Italian_Leather_Ballet_Flats,3,30.252941608428955,3,3,3,3,3,3,3,3,3,3,3,3
Now_Designs_Bowl_Akita_Black,3,26.9104642868042,0,1,2,3,0,1,1,2,0,1,1,2
Ecoforms_Plant_Container_QP_Turquoise,0,11.360666990280151,0,0,0,0,0,0,0,0,0,0,0,0
Timberland_Mens_Classic_2Eye_Boat_Shoe,2,14.479114770889282,0,2,2,2,2,2,2,2,0,2,2,2
Tena_Pads_Heavy_Long_42_pads,0,2.3371710777282715,0,0,0,0,0,0,0,0,0,0,0,0
Logitech_Ultimate_Ears_Boom_Wireless_Speaker_Night_Black,0,2.109168291091919,0,0,0,0,0,0,0,0,0,0,0,0
Lenovo_Yoga_2_11,0,17.460869789123535,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Pot_GP9AAvocado,26,33.654353618621826,24,26,26,26,26,26,26,26,24,26,26,26
Perricone_MD_Omega_3_Supplements,4,11.7124285697937,4,4,4,4,4,4,4,4,4,4,4,4
Razer_Kraken_Pro_headset_Full_size_Black,14,23.98060655593872,5,7,7,10,7,7,9,11,3,4,5,8
Office_Depot_HP_564XL_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,0,3.287254571914673,0,0,0,0,0,0,0,0,0,0,0,0
LEGO_Fusion_Set_Town_Master,0,9.521766424179075,0,0,0,0,0,0,0,0,0,0,0,0
Kong_Puppy_Teething_Rubber_Small_Pink,469,224.41022324562076,348,457,467,469,467,469,469,469,346,457,467,469
Ghost_6_GTX_Color_AnthBlckSlvrFernSulphSprng_Size_80,0,7.704715728759766,0,0,0,0,0,0,0,0,0,0,0,0
Poppin_File_Sorter_Blue,2,12.561858654022217,1,2,2,2,1,1,1,2,1,1,1,2
Elephant,0,14.153975248336792,0,0,0,0,0,0,0,0,0,0,0,0
Arm_Hammer_Diaper_Pail_Refills_12_Pack_MFWkmoweejt,0,1.804306983947754,0,0,0,0,0,0,0,0,0,0,0,0
Seagate_1TB_Wireless_Plus_mobile_device_storage,5,74.63568353652954,2,2,3,4,0,1,2,4,0,1,2,4
Womens_Canvas_Bahama_in_White_UfZPHGQpvz0,2,24.171846628189087,2,2,2,2,2,2,2,2,2,2,2,2
Phillips_Colon_Health_Probiotic_Capsule,0,17.569045543670654,0,0,0,0,0,0,0,0,0,0,0,0
048_hammer,67,97.8264331817627,25,37,47,52,35,38,44,61,21,32,41,51
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Leonardo,25,47.94096374511719,11,22,25,25,22,23,24,25,10,21,24,25
Sootheze_Toasty_Orca,1,13.28104019165039,0,0,1,1,1,1,1,1,0,0,1,1
Santa_Cruz_Mens_vnbiTDDt5xH,0,9.54973840713501,0,0,0,0,0,0,0,0,0,0,0,0
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_OysterTaupe_otyRrfvPMiA,0,13.280255556106567,0,0,0,0,0,0,0,0,0,0,0,0
UGG_Bailey_Button_Womens_Boots_Black_7,0,8.700575828552246,0,0,0,0,0,0,0,0,0,0,0,0
Home_Fashions_Washcloth_Olive_Green,0,52.835952281951904,0,0,0,0,0,0,0,0,0,0,0,0
Thomas_Friends_Wooden_Railway_Porter_5JzRhMm3a9o,150,139.82481384277344,107,145,149,150,134,138,143,149,106,137,143,149
Spritz_Easter_Basket_Plastic_Teal,1,11.181597709655762,0,0,0,1,0,1,1,1,0,0,0,1
MOSAIC,0,35.85009145736694,0,0,0,0,0,0,0,0,0,0,0,0
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,10,36.93353843688965,7,10,10,10,8,9,9,10,7,9,9,10
Perricone_MD_No_Bronzer_Bronzer,98,81.44673919677734,46,65,80,94,62,70,79,97,46,62,76,93
CHICKEN_RACER,1,25.69850897789001,1,1,1,1,1,1,1,1,1,1,1,1
Grreatv_Choice_Dog_Bowl_Gray_Bones_Plastic_20_fl_oz_total,9,24.392840147018436,3,7,7,9,7,7,8,9,3,7,7,9
059_chain,30,60.51916694641113,9,14,16,23,15,17,26,30,9,14,16,23
CAR_CARRIER_TRAIN,95,104.61782479286194,57,80,90,93,76,82,86,91,53,75,84,90
Ecoforms_Plant_Container_Urn_55_Avocado,0,8.844012022018433,0,0,0,0,0,0,0,0,0,0,0,0
Sperry_TopSider_pSUFPWQXPp3,0,20.435560703277588,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Washable_Fingerpaint_Red_Blue_Yellow_3_count_8_fl_oz_bottes_each,0,12.192265033721924,0,0,0,0,0,0,0,0,0,0,0,0
Mario_Party_9_Wii_Game,0,50.21383595466614,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Saucer_Glazed_6,1,67.12531447410583,0,1,1,1,1,1,1,1,0,1,1,1
Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_xgoEcZtRNmH,3,24.161980628967285,2,3,3,3,3,3,3,3,2,3,3,3
Marc_Anthony_True_Professional_Strictly_Curls_Curl_Defining_Lotion,81,87.73712205886841,41,53,61,73,57,59,66,79,41,52,61,73
Weisshai_Great_White_Shark,22,55.882670879364014,12,16,21,22,21,22,22,22,12,16,21,22
Craftsman_Grip_Screwdriver_Phillips_Cushion,249,158.35695958137512,113,142,164,208,157,173,195,227,111,140,160,206
Krill_Oil,189,102.48299288749696,155,173,180,189,174,178,185,189,155,173,180,189
REEF_BANTU,0,13.735734462738035,0,0,0,0,0,0,0,0,0,0,0,0
Nintendo_2DS_Crimson_Red,0,54.47776174545288,0,0,0,0,0,0,0,0,0,0,0,0
U_By_Kotex_Cleanwear_Heavy_Flow_Pads_32_Ct,0,1.9764230251312256,0,0,0,0,0,0,0,0,0,0,0,0
Remington_1_12_inch_Hair_Straightener,65,84.43949890136719,32,48,53,62,41,45,51,64,31,42,45,61
60_CONSTRUCTION_SET,0,10.05742049217224,0,0,0,0,0,0,0,0,0,0,0,0
Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,0,2.31888484954834,0,0,0,0,0,0,0,0,0,0,0,0
Poise_Ultimate_Pads_Long,0,2.278374433517456,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Dishtowel_Blue,0,47.94503951072693,0,0,0,0,0,0,0,0,0,0,0,0
Office_Depot_Canon_PGI5BK_Remanufactured_Ink_Cartridge_Black,7,32.257423639297485,1,4,5,7,2,3,6,7,1,2,5,7
016_pear,429,119.63104438781738,403,423,426,428,425,427,427,429,403,423,426,428
Olive_Kids_Trains_Planes_Trucks_Bogo_Backpack,0,4.798909664154053,0,0,0,0,0,0,0,0,0,0,0,0
Magnifying_Glassassrt,67,95.42653727531432,35,60,65,67,55,57,59,64,34,52,59,64
Ecoforms_Plant_Container_SB9Turquoise,0,28.37355709075928,0,0,0,0,0,0,0,0,0,0,0,0
Mens_Largo_Slip_On_in_Taupe_gooyS417q4R,0,15.887048721313477,0,0,0,0,0,0,0,0,0,0,0,0
F10_TRX_FG_ssscuo9tGxb,0,15.173755168914797,0,0,0,0,0,0,0,0,0,0,0,0
Hyaluronic_Acid,198,109.08288192749023,164,181,191,196,183,188,193,198,164,180,190,196
Reebok_CLASSIC_LEGACY_II,0,11.015970945358276,0,0,0,0,0,0,0,0,0,0,0,0
Nintendo_Wii_Party_U_with_Controller_Wii_U_Game,0,13.366191864013672,0,0,0,0,0,0,0,0,0,0,0,0
004_sugar_box,2,30.079413890838623,1,1,1,2,1,2,2,2,1,1,1,2
Ecoforms_Plant_Bowl_Atlas_Low,1,23.003929615020752,0,0,0,0,0,0,0,0,0,0,0,0
Germanium_GE132,337,158.3949317932129,274,307,324,335,304,314,321,336,273,304,319,335
044_flat_screwdriver,326,112.89631986618042,194,243,271,306,224,232,250,291,183,219,241,288
Kotobuki_Saucer_Dragon_Fly,21,98.90144801139832,13,19,21,21,10,11,13,20,8,11,13,20
010_potted_meat_can,5,24.9272780418396,5,5,5,5,5,5,5,5,5,5,5,5
Canon_Ink_Cartridge_Green_6,12,35.83043313026428,7,11,12,12,8,8,8,12,7,8,8,12
PEEKABOO_ROLLER,512,212.37877655029297,448,508,512,512,510,510,512,512,448,507,512,512
Black_Forest_Fruit_Snacks_Juicy_Filled_Centers_10_pouches_9_oz_total,0,19.056781768798828,0,0,0,0,0,0,0,0,0,0,0,0
Nikon_1_AW1_w11275mm_Lens_Silver,228,105.15887141227722,224,228,228,228,226,228,228,228,224,228,228,228
SAMe_200,2,27.234232902526852,0,0,1,2,0,1,1,2,0,0,0,2
014_lemon,958,268.0414800643921,953,958,958,958,958,958,958,958,953,958,958,958
Tiek_Blue_Patent_Tieks_Italian_Leather_Ballet_Flats,5,27.801703453063965,5,5,5,5,5,5,5,5,5,5,5,5
Mens_Gold_Cup_ASV_Capetown_Penny_Loafer_in_Black_GkQBKqABeQN,0,12.631967544555664,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Planter_Pot_QP6Ebony,0,9.548709869384766,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Sparkle_Suede_Bahama_in_Silver_Sparkle_Suede_Grey_Patent_tYrIBLMhSTN,1,18.898854732513428,1,1,1,1,1,1,1,1,1,1,1,1
Cole_Hardware_Plant_Saucer_Glazed_9,1,37.95109701156616,0,1,1,1,1,1,1,1,0,1,1,1
Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50,0,12.922204494476318,0,0,0,0,0,0,0,0,0,0,0,0
Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_RpT4GvUXRRP,1,25.135735750198364,1,1,1,1,1,1,1,1,1,1,1,1
Thomas_Friends_Wooden_Railway_Talking_Thomas_z7yi7UFHJRj,138,150.55901503562927,88,130,135,137,123,129,131,137,86,126,130,137
Office_Depot_Canon_PG_240XL_Ink_Cartridge_Black_5206B001,5,36.213542461395264,0,2,3,5,2,2,3,5,0,1,3,5
TOP_TEN_HI_60KlbRbdoJA,0,6.684472560882568,0,0,0,0,0,0,0,0,0,0,0,0
Kanex_MultiSync_Wireless_Keyboard,0,40.29672026634216,0,0,0,0,0,0,0,0,0,0,0,0
ASICS_GEL1140V_WhiteBlackSilver,0,8.731557369232178,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Deep_Bowl_Good_Earth_1075,0,17.929105520248413,0,0,0,0,0,0,0,0,0,0,0,0
Mens_Santa_Cruz_Thong_in_Tan_r59C69daRPh,1,31.526326656341556,1,1,1,1,1,1,1,1,1,1,1,1
063-a_marbles,256,89.29204559326172,189,244,253,256,251,253,255,256,189,242,252,256
Prostate_Optimizer,121,76.6516101360321,103,118,121,121,120,121,121,121,103,118,121,121
Ecoforms_Plant_Container_S14Turquoise,1,50.90302109718323,1,1,1,1,1,1,1,1,1,1,1,1
U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box,0,2.1445462703704834,0,0,0,0,0,0,0,0,0,0,0,0
Star_Wars_Rogue_Squadron_Nintendo_64,25,102.39637613296507,19,24,25,25,16,17,17,22,16,17,17,22
Squirtin_Barnyard_Friends_4pk,16,37.70256447792053,14,16,16,16,16,16,16,16,14,16,16,16
Footed_Bowl_Sand,0,13.322066068649292,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Container_URN_SAN,2,9.000703811645508,0,1,2,2,2,2,2,2,0,1,2,2
Reebok_TRIPLE_BREAK_LITE,0,15.643864154815674,0,0,0,0,0,0,0,0,0,0,0,0
LEGO_Creationary_Game_ZJa163wlWp2,0,4.845577239990234,0,0,0,0,0,0,0,0,0,0,0,0
Black_Decker_CM2035B_12Cup_Thermal_Coffeemaker,0,5.859373092651367,0,0,0,0,0,0,0,0,0,0,0,0
Tory_Burch_Sabe_65mm_Bootie_Split_Suede_in_Caramel,0,22.78601098060608,0,0,0,0,0,0,0,0,0,0,0,0
Unmellow_Yellow_Tieks_Neon_Patent_Leather_Ballet_Flats,5,39.47708773612976,5,5,5,5,5,5,5,5,5,5,5,5
3D_Dollhouse_Refrigerator,1,12.392898321151732,1,1,1,1,1,1,1,1,1,1,1,1
Womens_Authentic_Original_Boat_Shoe_in_Navy_Deerskin_50lWJaLWG8R,0,18.78818917274475,0,0,0,0,0,0,0,0,0,0,0,0
Matte_Black_Tieks_Italian_Leather_Ballet_Flats,8,33.95004844665527,7,8,8,8,8,8,8,8,7,8,8,8
Nestl_Skinny_Cow_Heavenly_Crisp_Candy_Bar_Chocolate_Raspberry_6_pack_462_oz_total,0,22.37221908569336,0,0,0,0,0,0,0,0,0,0,0,0
Balderdash_Game,0,11.854507207870483,0,0,0,0,0,0,0,0,0,0,0,0
Mens_Tremont_Kiltie_Tassel_Loafer_in_Black_Amaretto,0,14.488645315170288,0,0,0,0,0,0,0,0,0,0,0,0
Phillips_Caplets_Size_24,31,42.67379331588745,17,27,30,30,17,21,23,29,16,20,23,29
adizero_F50_TRX_FG_LEA,0,12.42365550994873,0,0,0,0,0,0,0,0,0,0,0,0
SAMe_200_KX7ZmOw47co,7,37.24097490310669,3,4,5,7,4,5,5,6,3,4,5,6
JBL_Charge_Speaker_portable_wireless_wired_Green,17,47.96093273162842,17,17,17,17,17,17,17,17,17,17,17,17
Reebok_ULTIMATIC_2V,0,14.483321905136108,0,0,0,0,0,0,0,0,0,0,0,0
CLIMACOOL_BOAT_BREEZE_IE6CyqSaDwN,0,10.860168933868408,0,0,0,0,0,0,0,0,0,0,0,0
070-b_colored_wood_blocks,1000,257.301362991333,879,982,997,1000,963,979,984,998,874,965,983,998
065-e_cups,210,84.490971326828,181,203,207,209,208,208,209,210,181,203,207,209
Womens_Suede_Bahama_in_Graphite_Suede_cUAjIMhWSO9,1,22.928094387054443,1,1,1,1,1,1,1,1,1,1,1,1
Cootie_Game_tDhURNbfU5J,0,1.8550362586975095,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Bluefish_2Eye_Boat_Shoe_in_Tan,0,20.90491223335266,0,0,0,0,0,0,0,0,0,0,0,0
Crayola_Crayons_Washable_24_crayons,29,62.30895185470581,22,26,27,28,21,22,26,28,21,22,25,28
Envision_Home_Dish_Drying_Mat_Red_6_x_18,0,35.00024676322937,0,0,0,0,0,0,0,0,0,0,0,0
Paul_Frank_Dot_Lunch_Box,0,2.8248167037963867,0,0,0,0,0,0,0,0,0,0,0,0
Luigis_Mansion_Dark_Moon_Nintendo_3DS_Game,1,51.00937080383301,0,0,1,1,0,1,1,1,0,0,1,1
032_knife,220,134.80449199676514,65,124,151,188,106,129,149,194,60,107,133,175
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,6,40.71946048736572,1,2,4,5,2,4,4,6,0,2,3,5
Imaginext_Castle_Ogre,0,13.41435694694519,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Cloud_Logo_Authentic_Original_Boat_Shoe_in_Black_Supersoft_8LigQYwf4gr,1,27.493205308914185,0,1,1,1,0,0,1,1,0,0,1,1
HELICOPTER,6,46.08056354522705,1,4,5,5,5,5,5,5,1,4,5,5
Android_Lego,17,84.17416214942932,6,10,14,17,4,4,6,13,3,4,6,13
OVAL_XYLOPHONE,0,12.72756290435791,0,0,0,0,0,0,0,0,0,0,0,0
HyperX_Cloud_II_Headset_Gun_Metal,0,2.0366077423095703,0,0,0,0,0,0,0,0,0,0,0,0
5_HTP,225,110.52132153511047,199,214,217,225,216,216,219,225,199,214,217,225
ASICS_GEL1140V_WhiteRoyalSilver,0,11.138038635253906,0,0,0,0,0,0,0,0,0,0,0,0
ALPHABET_AZ_GRADIENT_WQb1ufEycSj,0,14.804601430892944,0,0,0,0,0,0,0,0,0,0,0,0
Seagate_3TB_Central_shared_storage,0,27.277189016342163,0,0,0,0,0,0,0,0,0,0,0,0
Cole_Hardware_Antislip_Surfacing_Material_White,0,5.498861789703369,0,0,0,0,0,0,0,0,0,0,0,0
LEUCIPPUS_ADIPURE,1,14.498449563980104,1,1,1,1,1,1,1,1,1,1,1,1
Cole_Hardware_Saucer_Electric,4,78.09601283073425,2,3,4,4,2,3,4,4,2,2,4,4
Threshold_Bead_Cereal_Bowl_White,6,25.66327142715454,2,2,3,6,2,2,5,6,2,2,3,6
077_rubiks_cube,357,94.1454691886902,320,356,357,357,356,357,357,357,319,356,357,357
Razer_Taipan_Black_Ambidextrous_Gaming_Mouse,32,66.68233323097229,25,28,28,32,27,28,28,30,24,27,27,30
DANCING_ALLIGATOR_zoWBjc0jbTs,10,24.5264573097229,7,9,9,9,9,9,9,10,7,9,9,9
Closetmaid_Premium_Fabric_Cube_Red,0,13.41464352607727,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Saucer_S14MOCHA,2,53.23447132110596,0,1,2,2,0,0,0,2,0,0,0,2
Office_Depot_Dell_Series_1_Remanufactured_Ink_Cartridge_Black,5,34.264058113098145,2,2,3,5,2,3,5,5,2,2,3,5
030_fork,258,141.02423357963562,81,155,189,224,122,139,170,219,74,123,162,210
073-g_lego_duplo,10,23.87916874885559,2,8,9,10,9,9,9,10,2,7,8,10
Romantic_Blush_Tieks_Metallic_Italian_Leather_Ballet_Flats,7,31.333372831344604,7,7,7,7,7,7,7,7,7,7,7,7
ASICS_GELDirt_Dog_4_SunFlameBlack,1,14.05452823638916,1,1,1,1,1,1,1,1,1,1,1,1
Animal_Planet_Foam_2Headed_Dragon,1,21.03687787055969,0,0,0,0,0,0,0,0,0,0,0,0
Office_Depot_Canon_CLI_8CMY_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,1,2.2982711791992188,1,1,1,1,1,1,1,1,1,1,1,1
Cole_Hardware_Hammer_Black,115,95.26738953590392,68,88,100,110,76,80,86,103,65,77,84,101
Threshold_Tray_Rectangle_Porcelain,0,31.57020926475525,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Authentic_Original_Boat_Shoe_in_Classic_Brown_Leather_48Nh7VuMwW6,3,18.35484528541565,2,3,3,3,2,3,3,3,2,3,3,3
Olive_Kids_Trains_Planes_Trucks_Munch_n_Lunch_Bag,0,10.932749271392822,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_The_Power_Treatments,0,18.40020990371704,0,0,0,0,0,0,0,0,0,0,0,0
MINI_ROLLER,0,12.68773865699768,0,0,0,0,0,0,0,0,0,0,0,0
DPC_tropical_Trends_Hat,0,14.907781600952148,0,0,0,0,0,0,0,0,0,0,0,0
Chef_Style_Round_Cake_Pan_9_inch_pan,3,21.51423144340515,0,0,0,1,0,0,2,3,0,0,0,1
Circo_Fish_Toothbrush_Holder_14995988,0,8.3071928024292,0,0,0,0,0,0,0,0,0,0,0,0
BALANCING_CACTUS,0,24.666749715805054,0,0,0,0,0,0,0,0,0,0,0,0
Sony_Acid_Music_Studio,0,35.483855962753296,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Firming_Neck_Therapy_Treatment,93,56.05520582199097,87,93,93,93,91,91,93,93,87,91,93,93
Office_Depot_HP_75_Remanufactured_Ink_Cartridge_TriColor,2,20.867339611053467,2,2,2,2,2,2,2,2,2,2,2,2
GRANDMOTHER,68,119.99796414375304,35,45,52,60,39,43,47,59,32,39,47,59
